Action,Ação
"There was a problem saving the jadlog.","Houve um problema ao salvar a jadlog."
"There was a problem saving the log.","Houve um problema ao salvar o log."
"There was a problem saving the note.","Houve um problema ao salvar a nota."
"There was a problem saving the ping.","Houve um problema ao salvar o ping."
"There was an error deleteing jadlog.","Houve um erro jadlog de exclusão."
"There was an error deleteing jadlogs.","Houve um erro jadlogs de exclusão."
"There was an error deleteing log.","Houve um log de erros do Delete."
"There was an error deleteing logs.","Houve uma exclusão de erro logs."
"There was an error deleteing note.","Havia uma nota de exclusão do erro."
"There was an error deleteing notes.","Houve um erro notas Delete."
"There was an error deleteing ping.","Houve um ping de exclusão do erro."
"There was an error deleteing pings.","Houve um erro de pings de exclusão."
"There was an error updating jadlogs.","Houve um erro ao atualizar o jadlogs."
"There was an error updating logs.","Houve um erro ao atualizar registros."
"There was an error updating notes.","Houve um erro ao atualizar as notas."
"There was an error updating pings.","Houve um erro ao atualizar pings."
"This jadlog no longer exists.","Este jadlog não existe mais."
"This log no longer exists.","Esse log não existe mais."
"This note no longer exists.","Esta nota não existe mais."
"This ping no longer exists.","Esse ping não existe mais."
Title,Título
"Total of %d jadlogs were successfully deleted.","Total de %d jadlogs foram excluídos com êxito."
"Total of %d jadlogs were successfully updated.","Total de %d jadlogs foram atualizadas com êxito."
"Total of %d logs were successfully deleted.","Total de %d logs foram excluídos com êxito."
"Total of %d logs were successfully updated.","Total de %d registros foram atualizados com êxito."
"Total of %d notes were successfully deleted.","Total de %d notas foram excluídas com êxito."
"Total of %d notes were successfully updated.","Total de %d notas foram atualizadas com êxito."
"Total of %d pings were successfully deleted.","Total de %d pings foram excluídos com êxito."
"Total of %d pings were successfully updated.","Total de %d pings foram atualizadas com êxito."
"URL key already exists.","Chave de URL já existe."
"URL key","Chave de URL"
"Unable to find jadlog to save.","Incapaz de encontrar jadlog para salvar."
"Unable to find log to save.","Não é possível localizar o log para salvar."
"Unable to find note to save.","Incapaz de encontrar a nota para salvar."
"Unable to find ping to save.","Incapaz de encontrar o ping para salvar."
"Update note","Nota de atualização"
Update,Atualização
Userid,Userid
Username,"Nome de usuário"
Warning,Aviso
XML,XML
Yes,Sim
"Unable to generate submit transaction code. Please check your settings.","Não foi possível gerar o código de transação para envio. Por favor, verifique as suas configurações."
"Unable to generate query transaction code. Please check your settings.","Não foi possível gerar o código de transação para consulta. Por favor, verifique as suas configurações."
"Card Type","Tipo de Cartão"
"Choice of Payment","Forma de Pagamento"
"Auto Capture","Capturar Automaticamente"
"Card Types","Bandeiras de Cartões"
"Installments","Parcelas"
"Interest","Juros"
"Modality","Modalidade"
"Capture on Cielo","Cielo - Capturar"
"Consult on Cielo","Cielo - Consultar"
"Cancel on Cielo","Cielo - Cancelar"
"Capture on Pagador","Capturar"
"Refund on Pagador","Estorno"
"Cancel on Pagador","Cancelar"
"Warnings","Avisos"
"Modules conflicts","Módulos em conflitos"
"No Module Conflicts Found","Não foi encontrado conflitos entre módulos"
"File Permissions","Permissões de Arquivos"
"All files has right permissions","Todos os arquivos com permissões corretas"
"These files should have write permissions","Estes arquivos devem ter permissões de gravação"
"Disable Local Modules","Módulos locais desativado"
"Modules versions [active modules only]","Versões dos módulos [apenas os módulos ativos]"
"Disable Modules Output","Módulos desativado"
"These modules output disabled","Estes módulos estão desativado"
"All Cerebrum modules output enabled","Todos os módulos estão habilitados"
"Cache Configuration","Configuração do Cache"
"Magento version","Versão do Magento"
"Magento Version","Versão do Magento"
"Crontab Configuration","Configuração Crontab"
"Module Name","Nome do módulo"
"Magento Check","Checagem para Magento"
"You need","Você precisa"
"You have","Você tem"
"or greater","ou maior"
"Safe Mode is","Modo de Segurança é"
"You have the","Você tem a"
"You are missing the","Está faltando a"
"extension","extensão"
"Your server does not meet the following requirements in order to install Magento.","O servidor não atende aos seguintes requisitos para instalar Magento."
"The following requirements failed, please contact your hosting provider in order to receive assistance with meeting the system requirements for Magento:","Os seguintes requisitos falhou, por favor, contate seu provedor de hospedagem, a fim de receber assistência com o cumprimento dos requisitos de sistema para Magento:"
"The following requirements were successfully met:","Os seguintes requisitos foram cumpridos com sucesso:"
"Your server meets the requirements for Magento","O servidor atende aos requisitos para Magento"
"Congratulations","Parabéns"
"Environment","Ambiente"
"Relationship payments","Relacionamento entre métodos de pagamentos"
"Entity code","Entity code"
"Type ecommerce","Tipo do ecommerce"
"The extension of PHP Soap must be installed for the module to work correctly.","A extensão do PHP Soap deve ser instalada para que o módulo funcione corretamente."
"The Correios module accepts deliveries only national, so the home country of delivery must be configured to Brazil. Do not forget to set the postcode too","O módulo Correios aceita entregas só nacionais, de modo que o país de origem de entrega deve ser configurado para o Brasil. Não se esqueça de definir o código postal também."
"Access the menu Cerebrum -> Announcements and perform the update of the required packages","Acesse o menu Cerebrum -> Avisos e efetue a atualização dos pacotes requeridos."
"Shipping from Applicable Countries","Envio para países aplicáveis"
"Shipping from Specific Countries","Envio para países específicos"
"Created at","Criado em"
"Updated at","Atualizado em"
"Instructions (Maximum of four lines)","Instruções (máximo de quatro linhas)"
"Extra Informations (Maximum of three lines)","Informações extra (máximo de três linhas)"
"Identification","Identificação"
"Address","Endereço"
"City / Region","Cidade / Região"
"Transferor","Cedente"
"Agency (Only numbers)","Agencia (Somente números)"
"Account (Only numbers)","Conta (somente números)"
"Account DV (Only numbers)","Digito Verificador da Conta (somente números)"
"Agency DV (Only numbers)","Digito Verificador da Agência (somente números)"
"Agreement Number","Número Acordo"
"Contract Number","Número Contrato"
"Installments issuer","Parcelas emissor"
"Installments establishment","Parcelas estabelecimento"
"1 x %s (Debit)","1 x %s (Débito)"
"1 x %s (Credit View) (No Interest)","1 x %s (à Vista) (Sem Juros)"
"1 x %s (Billet)","1 x %s (Boleto)"
"%s x %s (Instalment Credit Shop) (No Interest) (%s)","%s x %s (Parcelado Loja) (Sem Juros) (%s)"
"%s x %s (Instalment Credit Shop) (With Interest) (Establishment %s a.m.) (%s) (%s)","%s x %s (Parcelado Loja) (Com Juros) (Estabelecimento %s a.m.) (%s) (%s)"
"%s x %s (Instalment Credit Shop) (With Interest) (Establishment %s a.m.) (%s) (%s) (%s)","%s x %s (Parcelado Loja) (Com Juros) (Estabelecimento %s a.m.) (%s) (%s) (%s)"
"%s x (Instalment Credit Administration) (With Interest)","%s x (Parcelado Administradora) (Com Juros)"
"Customer attribute was successfully saved","Atributo de cliente foi salvo com sucesso"
"Customer attribute was successfully deleted","Atributo do cliente foi excluído com sucesso"
"Menbers","Nossos Clientes"
"Manage Customer Attributes","Gerenciar Atributos de Clientes"
"Manage Items","Gerenciar Atributos"
"Customer profile","Perfil do cliente"
"Customer Profile","Perfil do cliente"
"All Customer Profile","Perfil de Todos os Clientes"
"All Customer profile","Perfil de Todos os Clientes"
"Profile","Perfil"
"Profile Photo","Foto do Perfil"
"Screen name","Apelido"
"Upload","Selecione um arquivo de imagem de seu computador (no máximo 4 MB):"
"Short profile","Colabore com o seu depoimento sobre os nossos produtos ou serviços - Obrigado!!!"
"My Product Reviews","Minhas Opiniões"
"No reviews found.","Nenhum comentário encontrado."
"Profile information was successfully saved","As informações do perfil foi salva com sucesso"
"Your nickname should contain only letters, numbers and underscore","Seu apelido deve conter apenas letras, números e sublinhado"
"Your nickname should be at least 4 characters long","Seu apelido deve ser de pelo menos 4 caracteres"
"Your nickname should be unique","Seu apelido deve ser único"
"Birthdays of the Month","Aniversariantes do Mês"
"title_profile_all","Consulte os nossos clientes e saiba mais sobre nós"
"Access Information","Informações de Acesso"
"Address Information","Informações de Endereço"
"Officer Name","Nome do responsável"
"Last name of the person responsible","Sobrenome do responsável"
"Manage Customer Birthday","Gerenciar Aniversariantes do Mês"
"New password field cannot be empty.","Novo campo de senha não pode estar vazio."
"Invalid current password","Senha atual inválida"
"Can\'t save customer","Não é possível salvar cliente"
"Manage attributes","Gerenciar atributos"
"Customers attributes","Atributos de clientes"
"Customers address attributes","Atributos de endereço"
"Choose attributes to manage","Selecione o tipo de atributos para gerenciar"
"Pf Pj error","Favor preencher o campo Pessoa Física | Pessoa Jurídica"
"Dob error","Favor preencher o campo Data de Nascimento"
"Fax error","Favor preencher o campo Fax/Cel"
"Input Validation","Validação do campo"
"Attribute Configuration","Configuração do atributo"
"Show on Manage Customers Grid","Mostrar em Gerenciar Clientes no Back-End"
"Show on Billing During Checkout","Mostrar no faturamento durante o checkout"
"Visible on Front-end","Exibir no Front-End"
"Is Visible on Front","Exibir no Front-End"
"More information about Payments","Mais informações sobre o método de pagamento"
"Delete File","Delete File"
"File","File"
"Image","Image"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Message","Message"
"Note subtree widget","Note subtree widget"
"Note subtree","Note subtree"
"Recursion level","Recursion level"
"Select Note","Select Note"
"Transaction","Transação"
"Click here","Clique aqui"
"Rate","Juros"
"Price range","Faixa de preço"
"Updated on","Atualizado em"
"Additional information","Informação adicional"
"Shipping description","Método de entrega"
"Payment Method","Método de pagamento"
"Customer email","e-mail"
"No cron jobs found","Não foram encontrado nehuma CRON"
"false","nenhum"
"enabled","ativado"
"disabled","desativado"
"Methods of Shipping","Métodos de entrega"
"Methods of Payment","Métodos de pagamento"
"Methods of Anti-Fraud","Métodos de anti-fraude"
"INITIATED","Iniciado"
"WAITING_PAYMENT","Aguardando pagamento"
"IN_ANALYSIS","Em analise"
"PAID","Pago"
"AVAILABLE","Disponível"
"IN_DISPUTE","Em disputa"
"REFUNDED","Devolvido"
"CANCELLED","Cancelado"
"NOT_SPECIFIED","Não especificado"
"Please Select","Por favor selecione"
"Test","Teste"
"Production","Produção"
"Payment Methods Active","Métodos de pagamento ativo"
"Methods Payment Fcontrol","Métodos de pagamento para a Fcontrol"
"Methods Payment Clearsale","Métodos de pagamento para a Clearsale"
"Add relationship","Adicionar relacionamento"
"Click here","Clique aqui"
"to start the process on the DHTML window.","para iniciar o processo na janela DHTML."
"to start the process on the POPUP window.","para iniciar o processo na janela POPUP."
"Credit card number mismatch with credit card type.","Número de cartão de crédito incompativel com o tipo de cartão de crédito."
"Invalid Credit Card Number","Número inválido de Cartão de Crédito"
"Credit card type is not allowed for this payment method.","Tipo de cartão de crédito não é permitida para este método de pagamento."
"Add Installments","Adicionar parcelamentos"
"Payment options","Opções de pagamentos"
"You will be redirected to our secure payment page when you place an order.","Você será redirecionado para nossa página de pagamento seguro quando você finalizar o seu pedido."
"<strong>Click here</strong> to <br>fill in the other side.","<strong>Clique aqui</ strong> para <br> preencher o outro lado."
"There\'s a problem on the other side.","Há um problema no outro lado."
"Forget something?<br> Flip the card over.","Esqueceu algo? <br> Vire o cartão."
"Sitemap Type","Tipo de Mapa do Site"
"Date Of Birth","Data de nascimento"
"Age","Idade"
"Loading","Carregando, favor aguardar ..."
"Possibility for:","Possibilidade para:"
"str_parcela_begin","ou"
"str_parcela_end",""
"Este serviço não é aceito nesse pais. (%s) http://www.correios.com.br/produtosaz/complementos/pdf/anexo_10_fichario_de_paises.pdf","Este serviço não é aceito nesse pais. (%s) http://www.correios.com.br/produtosaz/complementos/pdf/anexo_10_fichario_de_paises.pdf"
"'Erro Webservice: ","'Erro Webservice: "
"Excedeu o limite de valor: %s < %s | %s > %s","Excedeu o limite de valor: %s < %s | %s > %s"
"CEP de origem inválido.","CEP de origem inválido."
"Lojista: O peso do produto deverá ser maior que zero. Se você está usando a media de peso como gramas, o peso mínimo é de 10 gramas.","Lojista: O peso do produto deverá ser maior que zero. Se você está usando a media de peso como gramas, o peso mínimo é de 10 gramas."
"Dimensões dos produtos fora do permitido.","Dimensões dos produtos fora do permitido."
"O parâmetro (%s) para envio ao Webservice está como vazio. Favor efetuar a correção.","O parâmetro (%s) para envio ao Webservice está como vazio. Favor efetuar a correção."
"Não houve retorno ou retorno é vazio no acesso. %s","Não houve retorno ou retono é vazio no acesso. %s"
"O método (%s) retornou o seguinte erro: %s","O método (%s) retornou o seguinte erro: %s"
"O peso informado é superior ao peso máximo permitido neste país !","O peso informado é superior ao peso máximo permitido neste país !"
"O País não aceita este serviço !","O País não aceita este serviço !"
"Transação criada","Transação criada"
"Transação em andamento","Transação em andamento"
"Transação autenticada","Transação autenticada"
"Transação não autenticada","Transação não autenticada"
"Transação autorizada","Transação autorizada"
"Transação não autorizada","Transação não autorizada"
"Transação capturada","Transação capturada"
"Transação não capturada","Transação não capturada"
"Transação cancelada","Transação cancelada"
"Transação em autenticação","Transação em autenticação"
"Transação em cancelamento","Transação em cancelamento"
"Number","Número"
"Show Service if Not Applicable","Mostrar serviço se não aplicável"
"Documento duplicado, em uso pelo cliente (%s %s) id (%s)","Documento duplicado, em uso pelo cliente (%s %s) id (%s)"
"Operation Successful","Operação bem sucedida"
"Tools","Ferramentas"
